n    x(n)   c(n)  xhat(n) 
621   11.0       0.0      17.4 
622   13.0       0.0       5.9 
623   13.0       0.0      12.7 
624   13.0       0.0      18.2 
625   10.0       0.0       6.5 
626    9.0       0.0      13.2 
627    8.0       0.0       2.6 
628    6.0       0.0      10.1 
629    8.0       0.0       0.1 
630    5.0       0.0       8.0 
631    6.0       0.0      -1.6 
632    7.0       0.0       6.7 
633    5.0       0.0      -2.6 
634    7.0       0.0       5.9 
635    8.0       0.0      12.7 
636   10.0       0.0       2.2 
637    9.0       0.0       9.7 
638   10.0       0.0      15.8 
639   11.0       0.0       4.6 
640   12.0       0.0      11.7 
641   11.0       0.0      17.4 
642   12.0       0.0       5.9 
643   11.0       0.0      12.7 
644    9.0       0.0       2.2 
645   10.0       0.0       9.7 
646   10.0       0.0      15.8 
647   10.0       0.0       4.6 
648   10.0       0.0      11.7 
649    7.0       0.0       1.4 
650    6.0       0.0       9.1 
651    8.0       0.0      15.3 
652    7.0       0.0       4.2 
653    8.0       0.0      11.4 
654    7.0       0.0       1.1 
655    8.0       0.0       8.9 
656    8.0       0.0      15.1 
657    9.0       0.0       4.1 
658    9.0       0.0      11.3 
659    9.0       0.0       1.0 
660   10.0       0.0       8.8 
661   10.0       0.0      15.0 
662   10.0       0.0       4.0 
663    8.0       0.0      11.2 
664    8.0       0.0       1.0 
665    5.0       0.0       8.8 
666    4.0       0.0      -1.0 
667    2.0       0.0       7.2 
668    2.0       0.0      -2.2 
669   -1.0       0.0       6.2 
670   -2.0       0.0      -3.0 
671    0.0       0.0       5.6 
672   -1.0       0.0      -3.5 
673    0.0       0.0       5.2 
674    2.0       0.0      -3.9 
675    3.0       0.0       4.9 
676    5.0       0.0      11.9 
677    5.0       0.0       1.5 
678    5.0       0.0       9.2 
679    7.0       0.0      -0.6 
680    6.0       0.0       7.5 
681    4.0       0.0      -2.0 
682    5.0       0.0       6.4 
683    6.0       0.0      13.1 
684    5.0       0.0       2.5 
685    5.0       0.0      10.0 
686    5.0       0.0       0.0 
687    5.0       0.0       8.0 
688    6.0       0.0      -1.6 
689    7.0       0.0       6.7 
690    7.0       0.0      13.4 
691    5.0       0.0       2.7 
692    5.0       0.0      10.2 
693    5.0       0.0       0.1 
694    3.0       0.0       8.1 
695    1.0       0.0      -1.5 
696   -1.0       0.0       6.8 
697   -1.0       0.0      -2.6 
698   -1.0       0.0       5.9 
699   -1.0       0.0      -3.2 
700    0.0       0.0       5.4 
701   -2.0       0.0      -3.7 
702    0.0       0.0       5.1 
703   -2.0       0.0      -4.0 
704   -2.0       0.0       4.8 
705   -2.0       0.0      -4.1 
706   -2.0       0.0       4.7 
707   -2.0       0.0      -4.2 
708   -1.0       0.0       4.6 
709    0.0       0.0      -4.3 
710   -1.0       0.0       4.5 
711    1.0       0.0      -4.4 
712    1.0       0.0       4.5 
713    1.0       0.0      -4.4 
714    2.0       0.0       4.5 
715    3.0       0.0      -4.4 
716    2.0       0.0       4.5 
717    2.0       0.0      -4.4 
718    1.0       0.0       4.5 
719    1.0       0.0      -4.4 
720   -1.0       0.0       4.5 
721   -2.0       0.0      -4.4 
722   -1.0       0.0       4.5 
723    1.0       0.0      -4.4 
724   -3.0       0.0       4.4 
725   -3.0       0.0      -4.4 
726   -1.0       0.0       4.4 
727   -5.0       0.0      -4.4 
